,Model,Training Accuracy,Validation Accuracy,Training Precision,Validation Precision,Training Recall ,Validation Recall,Training F1,Validation F1,Training ROC_AUC,Validation ROC_AUC
0,Logistic Regression,0.6389746212012378,0.6137812230835487,0.6586460053285408,0.6350289080450857,0.9270335097651937,0.9186319426274056,0.7346220491533053,0.7183203243655022,0.6152085319468468,0.5915550960418287
1,Random Forest Classifier,0.9922144392733827,0.5979328165374678,1.0,0.6131766154557516,0.992141047363431,0.827350733395152,0.9378467650165639,0.6981884036659329,0.990751992133713,0.568821898002217
2,XGB Classifier,0.7191087004385214,0.6022394487510767,0.9370704174130383,0.6213938869087466,0.9738630790358729,0.9529873461370135,0.7527412277387573,0.7220372387215445,0.9382132432059803,0.5736476948884599
3,Ridge Classifier,0.6351406577467783,0.6063738156761412,0.6530942285979096,0.631598028849083,0.8347315633651,0.7966269500943455,0.7254118809428058,0.696003702976555,0.607640278670986,0.5852308269776313
4,Linear SVC,0.6407131089680157,0.6122308354866494,0.6555257950356992,0.636817975755326,0.7969791417134173,0.7485897216407809,0.7193396711838533,0.6855379603648011,0.6116735267698541,0.5942234832589814
